svm_cifs_sl3;vol_cifs_sl3_allg;2305843013508661248;daten_allg;1;;664.3MB;
svm_cifs_sl3;vol_cifs_sl3_allg;5764607523034234880;;*;;0B;
svm_cifs_sl3;vol_cifs_sl3_apps;2305843013508661248;apps;1;;609.6GB;
svm_cifs_sl3;vol_cifs_sl3_apps;5764607523034234880;;*;;0B;
svm_cifs_sl3;vol_cifs_sl3_appv;2305843013508661248;appv;1;;8.61GB;
svm_cifs_sl3;vol_cifs_sl3_appv;5764607523034234880;;*;;0B;
svm_cifs_sl3;vol_cifs_sl3_backup2;2305843013508661248;restore3;1;;82.07GB;
svm_cifs_sl3;vol_cifs_sl3_cev;2305843013508661248;cev;1;;4.95TB;
svm_cifs_sl3;vol_cifs_sl3_cev;2305843017803628544;oe;;2;;149.6GB;
svm_cifs_sl3;vol_cifs_sl3_cev;5764607523034234880;;*;;0B;
svm_cifs_sl3;vol_cifs_sl3_daten;2305843013508661248;ebuswin;1;;1.17TB;
svm_cifs_sl3;vol_cifs_sl3_daten;2305843017803628544;daten_cuc;2;;288.6GB;
svm_cifs_sl3;vol_cifs_sl3_daten;2305843022098595840;eqm_p-fragebogen;3;4.29GB;
svm_cifs_sl3;vol_cifs_sl3_daten;2305843026393563136;eqm_pis;4;;430.2GB;
svm_cifs_sl3;vol_cifs_sl3_daten;2305843030688530432;eqm_q-fragebogen;5;9.74MB;
svm_cifs_sl3;vol_cifs_sl3_daten;2305843034983497728;eqm_qis;6;;90.65MB;
svm_cifs_sl3;vol_cifs_sl3_daten;2305843039278465024;gbot_fmvertrag;7;805.1MB;
svm_cifs_sl3;vol_cifs_sl3_daten;2305843043573432320;ifms;8;;119.6GB;
svm_cifs_sl3;vol_cifs_sl3_daten;2305843047868399616;lcmscan;9;;1.42GB;
svm_cifs_sl3;vol_cifs_sl3_daten;2305843052163366912;wiss;10;;955.8GB;
svm_cifs_sl3;vol_cifs_sl3_daten;2305843056458334208;ezsefs11;11;;309.4GB;
svm_cifs_sl3;vol_cifs_sl3_daten;5764607523034234880;;*;;0B;
svm_cifs_sl3;vol_cifs_sl3_datenabtlg;2305843013508661248;daten;1;;57.25TB;
svm_cifs_sl3;vol_cifs_sl3_datenabtlg;2305843017803628544;daten_kebi;2;34.29GB;
svm_cifs_sl3;vol_cifs_sl3_datenabtlg;2305843022098595840;nieder-olm;3;61.42GB;
svm_cifs_sl3;vol_cifs_sl3_datenabtlg;5764607523034234880;*;;0B;
svm_cifs_sl3;vol_cifs_sl3_enl;2305843013508661248;logistik;1;;0B;
svm_cifs_sl3;vol_cifs_sl3_enl;2305843017803628544;cdispo_archiv_prod;2;179.3GB;
svm_cifs_sl3;vol_cifs_sl3_enl;5764607523034234880;;*;;0B;
svm_cifs_sl3;vol_cifs_sl3_evd;2305843013508661248;epension;1;;1.00GB;
svm_cifs_sl3;vol_cifs_sl3_evd;5764607523034234880;;*;;0B;
svm_cifs_sl3;vol_cifs_sl3_infra;2305843013508661248;idm-iso;1;;102.4GB;
svm_cifs_sl3;vol_cifs_sl3_infra;2305843017803628544;xenapp-inst;2;;353.1GB;
svm_cifs_sl3;vol_cifs_sl3_infra;2305843022098595840;db-install;3;;4KB;
svm_cifs_sl3;vol_cifs_sl3_infra;5764607523034234880;;*;;0B;
svm_cifs_sl3;vol_cifs_sl3_nfcm;2305843013508661248;cmnonfood;1;;5.52TB;
svm_cifs_sl3;vol_cifs_sl3_nfcm;5764607523034234880;;*;;0B;
svm_cifs_sl3;vol_cifs_sl3_profiles;2305843013508661248;tsenl_profiles;1;47.91GB;
svm_cifs_sl3;vol_cifs_sl3_profiles;2305843017803628544;xa_2016_basis;2;372.9GB;
svm_cifs_sl3;vol_cifs_sl3_profiles;2305843030688530432;xd_win10_region;5;82.05GB;
svm_cifs_sl3;vol_cifs_sl3_profiles;2305843043573432320;xa76_2012_tc;8;6.33GB;
svm_cifs_sl3;vol_cifs_sl3_profiles;2305843047868399616;rds_rpa;9;;10.56GB;
svm_cifs_sl3;vol_cifs_sl3_profiles;2305843052163366912;xa_2019_admin;10;6.12GB;
svm_cifs_sl3;vol_cifs_sl3_profiles;5764607523034234880;*;;0B;
svm_cifs_sl3;vol_cifs_sl3_projekte;2305843013508661248;projekte;1;;12.36TB;
svm_cifs_sl3;vol_cifs_sl3_projekte;5764607523034234880;*;;0B;
svm_cifs_sl3;vol_cifs_sl3_transfer;2305843013508661248;transfer;1;;365.9GB;
svm_cifs_sl3;vol_cifs_sl3_transfer;5764607523034234880;*;;0B;
svm_cifs_sl3;vol_cifs_sl3_usersh;281556581089280;users;EDEKA-EZ\kellerei;140KB;
svm_cifs_sl3;vol_cifs_sl3_usersh;281917358342144;users;EDEKA-EZ\mawild;121.0MB;
svm_cifs_sl3;vol_cifs_sl3_usersh;281994667753472;users;EDEKA-EZ\thhaas;7.76MB;
svm_cifs_sl3;vol_cifs_sl3_usersh;281998962720768;users;EDEKA-EZ\coschm;493.4MB;
